Company Name,Rating
PT Pertamina Patra Niaga Balikpapan,4.5 out of 5
PT.Pratama abadi indrustri,4.6 out of 5
Pt. Indofood CBK,4.4 out of 5
PT.nipon indosari carpindo,4.25 out of 5
KONSULTAN PERBANKAN,4.3929 out of 5
Sahabat Utama Group,4.6429 out of 5
PT Zioncom Technology,2.5 out of 5
PT Liberica,4.625 out of 5
Dana Pensiun Bank Mandiri,4.5 out of 5
PT Sai Apparel Industries Semarang,4.25 out of 5
Pt Patco Elektronik Energi,4.5 out of 5
PT Mutiara Hexagon,4.125 out of 5
PT TORABIKA EKA SEMASTA,4.2 out of 5
PT Laris Chandra,4.3333 out of 5
PT Fahreza Duta Perkasa,2.5 out of 5
"PT. EPSON, di cikarang jawa barat",4.75 out of 5
PT. Pancuran Bengawan Mas,3.6 out of 5
PT Boskalis International Indonesia,4.75 out of 5
PT Rukun Persada Makmur,2.75 out of 5
PT. Sumatera Timberindo Industry,3.5714 out of 5
PT Mizan Publika,4.5 out of 5
PT Bina Karya (Persero),4.4 out of 5
PT Plataran Indonesia,4.5714 out of 5
PT Frasta Survey Indonesia,4 out of 5
"PT Ace Hardware Indonesia, Tbk",4.3684 out of 5
PT Hakuhodo Indonesia,4.3333 out of 5
PT Yamazen Indonesia,5 out of 5
PT Tsuzuki Indonesia Manufacturing,4.6429 out of 5
PT Dewata Freight International Tbk.,4.1429 out of 5
kantor notaris ppat,4.6 out of 5
SEVEN OFFSHORE,3.75 out of 5
PT Denapella Lestari,4 out of 5
PT Gobel Dharma Sarana Karya,4 out of 5
Jobstreetads-id@jobstreet.com,4.9 out of 5
Alfamart Semarang,4.6667 out of 5
PT Kideco Jaya Agung (Kideco),4.25 out of 5
Delonix Hotel Karawang,3.7143 out of 5
PT Jaya Teknik Indonesia,3.9118 out of 5
PT. Jembatan Indonesia Jepang,5 out of 5
PT. Dinamika Sinergi Cakrawala,3 out of 5
Pt perusahaan softex,4.3333 out of 5
PT Mata Utama Indonesia,4.6667 out of 5
PT Intidragon Suryatama,3.3333 out of 5
PT Adira Finance Area Bali Nusra,5 out of 5
PT Asuransi Jiwa Tugu Mandiri,3.7857 out of 5
Hotel Matahari,3.6667 out of 5
PT Wulandari Lestari,4 out of 5
Monsanto Indonesia,4.3333 out of 5
PT BPR Karya Bakti Sejahtera,4 out of 5
PT Techno Multi Utama,4 out of 5
PT. New Hope Indonesia Branch Makassar,4.6 out of 5
PT Mandira Dian Semesta,3.6667 out of 5
Jnt-express,4.6 out of 5
PT Selnet Optima Trikarsa Mas Nusantara,4 out of 5
PT Dinito Jaya Sakti,3.75 out of 5
PT Surya Rengo Containers (Jawa Timur),4 out of 5
PT Sarimelati Kencana Tbk,4.3889 out of 5
PT Fugro Indonesia,4.3333 out of 5
Coca cola amatil medan,3 out of 5
PT Nikon Indonesia,4.6667 out of 5
PT Rekatama Global Sinergi,2.25 out of 5
PT Multi Media Persada,5 out of 5
PT Jurnalindo Aksara Grafika (Bisnis Indonesia),4.16 out of 5
PT AIG Insurance Indonesia,4.5238 out of 5
PT Arco Quality Parking,4.2857 out of 5
JSID JF PT Vivo Communication Indonesia,4.5 out of 5
PT Widaya Inti Plasma,3.8 out of 5
PT Pro Tank Terminal,3.5 out of 5
PT Parahita Prima Sentosa,2.75 out of 5
Rekrutmen non PNS Badan Narkotika Nasional,4.5 out of 5
PT Ramesia Mesin Indonesia,3.75 out of 5
PT IDStar Cipta Teknologi,4.8889 out of 5
Takke Group,3.5 out of 5
PT Berkah Utama Alloy,2 out of 5
CV.Amanda brownies,4.4 out of 5
PT Venus Ceramica Indonesia,1 out of 5
Aryanti & Pebriyanto Law Office,4.5 out of 5
CV Golden Sunkist Plastindo,4 out of 5
PT GRAHA ALAM SEMPURNA,3.3333 out of 5
PT Shukaku Indonesia,4.6 out of 5
PT Trinet Prima Solusi,3.5 out of 5
PT Revo International Industry,4.6667 out of 5
Goodrich Global,4.3333 out of 5
Language Center (LC),4.375 out of 5
PT Energy Management Indonesia (Persero),4 out of 5
PT Benua Kencana Makmur,4.3333 out of 5
PT Trinusa Travelindo (Traveloka) Disnaker.con,4 out of 5
PT Mitracomm Ekasarana,4.1228 out of 5
PT MCF,4.2 out of 5
PT Interpak Industries Batam,3.8 out of 5
PT Maruni Daya Sakti,2.8947 out of 5
PT Japfa Comfeed Tbk Unit Gedangan Sidoarjo,0 out of 5
PT Amara Tujuh Perjuangan (Jakarta),4.4 out of 5
PT Agung Solusi Trans,3.6667 out of 5
PT Luminary Auto Prima,4.3333 out of 5
PT Bima Bisalloy,4.6667 out of 5
Keuangan,3.625 out of 5
PT Evoluzione Tyres,3.6774 out of 5
PT Kirana Food,3 out of 5
"PT.Astra International, Tbk - Auto2000 Cibiru (Jl.Soekarno Hatta No.759 Bandung)",4.2308 out of 5
PT Buana Perkasa Permai (Surabaya),4 out of 5
PT TUDER KAPUR BUMI INDONESIA,4 out of 5
Pabrik BUMN,5 out of 5
Anteraja,4 out of 5
PT NNR RPX Global Logistics Indonesia,2.5 out of 5
"PT Puradelta Lestari, Tbk",4.2414 out of 5
PT Sanyo Energy Batam,4.5263 out of 5
PT Sanden Electronics Indonesia,3.6667 out of 5
Kantor Pelayanan Pajak,4.6667 out of 5
PT Xerography Indonesia,4 out of 5
PT Mingala,4 out of 5
PT. MELILEA HEALTH SCIENCE INTERNATIONAL,4.0833 out of 5
PT Bank Mega Syariah Palembang,0 out of 5
Bca.co.id,5 out of 5
PT. Vitra Graha Interia,4 out of 5
"PT Pan Brothers, Tbk",3.5 out of 5
PT. Selular Global Net,5 out of 5
Pt wings food group,4.8571 out of 5
Sekolah Cikal,4.3333 out of 5
PT NUSANTARA SUKSES TEKNOLOGI,4.5 out of 5
PT Kontinum Studio Hardy Jonggala,3.3333 out of 5
Grand Edge Hotel Semarang,4.25 out of 5
BPK Penabur International School,4 out of 5
PT SUARA MERDEKA PRESS,4.5 out of 5
PT Probesco Disatama,0 out of 5
PT Intelfast Technology,2.6667 out of 5
PT. Waktu Cipta Dimensi,4 out of 5
PT Astra International TBK (Toyota Auto 2000 Muara Karang),4.5455 out of 5
PT Surveyor Carbon Consulting Indonesia,4 out of 5
Universitas Mercu Buana Yogyakarta,0 out of 5
PT Duniatex Group,3.8235 out of 5
PT.chemco,3.6667 out of 5
PT Unicom Harbura Jaya Makmur,3.6667 out of 5
PT Restoran Rumah Kayu,3.8333 out of 5
Perusahaan apa saja yg penting halal,3.5 out of 5
